id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1863,Female,Loyal Customer,39,Business travel,Business,4102,2,3,4,4,3,3,3,3,2,4,4,4,1,3,1,1.0,satisfied
1864,Male,Loyal Customer,63,Personal Travel,Business,556,5,3,3,4,4,2,2,3,3,3,3,3,4,2,21,30.0,neutral or dissatisfied
1865,Female,disloyal Customer,81,Business travel,Business,1390,1,3,4,1,0,4,5,5,4,4,5,4,4,5,46,33.0,satisfied
1866,Male,Loyal Customer,51,Business travel,Business,1733,4,2,3,3,4,0,3,3,4,3,3,2,3,4,8,6.0,neutral or dissatisfied
1867,Male,Loyal Customer,28,Business travel,Eco,622,3,3,2,2,1,5,3,2,3,3,3,1,1,5,10,8.0,satisfied
1868,Female,Loyal Customer,61,Personal Travel,Eco,2675,4,2,3,3,4,3,4,2,4,4,4,3,1,4,8,1.0,neutral or dissatisfied
1869,Male,Loyal Customer,60,Business travel,Business,218,2,4,4,0,1,1,4,3,1,3,5,4,3,3,9,2.0,neutral or dissatisfied
1870,Female,Loyal Customer,57,Personal Travel,Eco,3086,4,2,3,3,1,3,3,3,4,3,3,3,2,3,4,5.0,satisfied
1871,Male,Loyal Customer,10,Business travel,Business,2894,3,3,3,4,4,3,2,3,3,3,4,3,4,4,43,42.0,satisfied
1872,Male,Loyal Customer,62,Personal Travel,Business,2998,2,2,2,3,4,3,2,2,4,3,1,2,4,2,2,1.0,satisfied
1873,Female,Loyal Customer,8,Business travel,Eco,4568,2,2,3,2,3,5,5,5,4,2,5,3,2,4,9,5.0,satisfied
1874,Female,Loyal Customer,77,Business travel,Eco,3942,3,3,3,5,5,4,4,5,2,3,2,5,3,5,11,19.0,neutral or dissatisfied
1875,Male,disloyal Customer,75,Business travel,Eco,1335,1,5,2,4,2,4,3,3,3,2,3,5,2,3,7,0.0,satisfied
1876,Male,Loyal Customer,50,Business travel,Business,2879,5,3,3,2,2,3,4,2,5,3,3,3,4,3,2,2.0,neutral or dissatisfied
1877,Male,Loyal Customer,57,Personal Travel,Business,4022,4,2,3,3,3,4,1,5,4,4,2,4,5,4,17,14.0,satisfied
1878,Female,disloyal Customer,12,Personal Travel,Business,4262,5,3,4,1,3,2,3,4,3,5,1,2,3,5,22,18.0,neutral or dissatisfied
1879,Female,Loyal Customer,75,Business travel,Eco,3233,5,1,4,4,3,3,3,3,2,4,2,4,5,2,2,0.0,satisfied
1880,Male,Loyal Customer,28,Business travel,Business,468,3,3,4,1,2,2,4,5,4,4,3,3,4,3,22,22.0,neutral or dissatisfied
1881,Male,Loyal Customer,27,Business travel,Eco,2201,2,5,1,4,4,5,2,3,2,2,5,2,3,3,8,4.0,satisfied
1882,Male,disloyal Customer,62,Business travel,Business,4301,0,3,2,4,4,3,4,2,3,4,5,4,4,3,2,4.0,satisfied
1883,Male,Loyal Customer,80,Business travel,Business,415,3,4,2,3,5,4,5,3,3,2,4,3,2,1,9,33.0,satisfied
1884,Female,Loyal Customer,45,Business travel,Business,2970,5,2,2,2,2,3,1,1,4,4,3,5,3,2,6,7.0,satisfied
1885,Female,disloyal Customer,46,Business travel,Eco,2726,2,3,2,4,3,5,3,2,3,2,4,4,3,2,2,5.0,neutral or dissatisfied
1886,Male,Loyal Customer,49,Personal Travel,Eco,1153,3,3,4,3,4,1,4,4,3,2,5,2,5,3,2,0.0,neutral or dissatisfied
1887,Female,disloyal Customer,29,Personal Travel,Eco Plus,1753,2,2,4,3,3,3,4,3,2,4,3,3,3,3,16,17.0,neutral or dissatisfied
1888,Male,disloyal Customer,53,Personal Travel,Eco,4889,3,3,3,2,3,2,1,2,3,5,3,2,2,2,20,20.0,neutral or dissatisfied
1889,Male,disloyal Customer,81,Business travel,Eco,2998,4,4,4,3,1,1,4,3,3,4,3,4,2,3,12,6.0,neutral or dissatisfied
1890,Male,Loyal Customer,36,Personal Travel,Business,4701,1,4,3,3,3,2,3,2,3,3,4,3,4,5,9,2.0,satisfied
1891,Male,Loyal Customer,67,Business travel,Eco,2383,2,3,3,2,4,4,3,3,3,2,2,2,3,2,36,39.0,satisfied
1892,Male,Loyal Customer,67,Business travel,Eco,4236,5,4,4,4,3,3,5,3,3,3,3,1,1,3,1,0.0,neutral or dissatisfied
1893,Female,Loyal Customer,73,Business travel,Eco,3118,4,3,2,5,2,3,3,4,4,3,4,4,4,3,0,0.0,satisfied
1894,Female,Loyal Customer,63,Personal Travel,Business,4562,3,3,3,4,1,4,4,3,4,3,1,3,2,2,15,25.0,neutral or dissatisfied
1895,Male,disloyal Customer,78,Business travel,Business,1667,5,5,2,4,3,3,3,3,2,2,4,3,3,1,0,12.0,satisfied
1896,Female,Loyal Customer,62,Personal Travel,Eco,1941,1,2,2,5,3,4,3,3,4,4,4,4,3,5,6,0.0,satisfied
1897,Female,Loyal Customer,83,Business travel,Business,250,4,1,2,2,5,4,4,1,5,4,1,2,2,1,1,9.0,satisfied
1898,Female,Loyal Customer,62,Personal Travel,Business,1177,3,2,2,2,1,4,4,3,4,5,3,1,1,1,9,0.0,neutral or dissatisfied
1899,Female,Loyal Customer,72,Personal Travel,Business,735,4,3,3,3,2,3,2,4,1,1,3,3,4,4,1,0.0,satisfied
1900,Male,Loyal Customer,76,Personal Travel,Eco,955,0,4,3,3,2,4,3,3,3,2,2,2,4,1,4,0.0,satisfied
1901,Female,Loyal Customer,83,Business travel,Business,1576,3,2,3,3,4,2,3,4,5,3,2,3,3,4,21,17.0,neutral or dissatisfied
1902,Female,Loyal Customer,53,Business travel,Eco,4375,4,5,3,2,4,3,1,4,3,3,3,2,4,4,0,0.0,neutral or dissatisfied
1903,Female,Loyal Customer,62,Personal Travel,Eco,1923,3,3,5,3,5,4,2,5,5,3,4,2,1,2,2,0.0,neutral or dissatisfied
1904,Male,Loyal Customer,82,Business travel,Eco,4141,4,3,2,3,4,3,4,2,1,2,5,1,4,3,10,7.0,neutral or dissatisfied
1905,Male,Loyal Customer,36,Business travel,Business,4082,4,2,2,4,4,3,3,3,3,2,4,3,4,3,20,13.0,satisfied
1906,Male,Loyal Customer,16,Personal Travel,Eco Plus,4905,2,5,2,3,3,5,5,4,4,5,2,4,4,2,13,14.0,neutral or dissatisfied
1907,Male,Loyal Customer,75,Business travel,Business,2567,4,3,3,1,4,5,4,3,3,1,4,4,4,3,17,17.0,satisfied
1908,Male,disloyal Customer,56,Personal Travel,Business,4248,2,2,4,3,3,3,4,3,3,1,4,3,4,3,27,38.0,neutral or dissatisfied
1909,Male,Loyal Customer,40,Business travel,Business,2126,3,5,4,5,4,2,5,4,2,2,0,5,3,3,4,0.0,neutral or dissatisfied
1910,Female,Loyal Customer,62,Personal Travel,Business,3180,4,3,4,3,5,1,4,4,3,3,5,2,3,4,1,10.0,satisfied
1911,Male,Loyal Customer,9,Business travel,Eco,4064,2,4,3,4,3,4,3,2,4,3,3,4,2,3,8,17.0,satisfied
1912,Female,Loyal Customer,44,Business travel,Business,754,4,5,3,2,3,5,2,1,1,3,3,2,4,4,6,2.0,neutral or dissatisfied
1913,Male,disloyal Customer,27,Personal Travel,Eco,334,2,4,5,4,3,4,4,3,4,2,1,2,2,3,10,8.0,satisfied
1914,Female,Loyal Customer,29,Business travel,Business,865,2,4,0,2,3,1,5,2,3,3,5,4,3,4,4,6.0,satisfied
1915,Male,Loyal Customer,82,Business travel,Eco Plus,3619,4,3,3,3,3,3,3,4,4,3,4,3,3,4,7,15.0,satisfied
1916,Female,Loyal Customer,49,Business travel,Eco,2394,2,4,3,3,3,3,1,2,4,5,4,4,2,1,1,0.0,satisfied
1917,Male,Loyal Customer,17,Business travel,Business,1436,2,3,5,4,4,3,2,3,5,5,2,1,3,4,54,51.0,neutral or dissatisfied
1918,Male,Loyal Customer,35,Business travel,Eco,3850,4,3,1,2,4,5,5,1,5,3,4,4,4,2,11,14.0,satisfied
1919,Male,Loyal Customer,25,Business travel,Business,124,3,3,3,1,5,4,3,1,2,4,4,4,2,3,13,13.0,satisfied
1920,Female,Loyal Customer,77,Personal Travel,Eco Plus,907,1,3,2,4,3,4,5,2,5,3,3,3,3,4,73,73.0,satisfied
1921,Male,Loyal Customer,29,Business travel,Eco,2375,4,4,1,3,3,3,3,3,0,4,2,4,4,3,5,0.0,satisfied
1922,Female,disloyal Customer,34,Business travel,Eco,4581,3,4,3,3,3,4,3,2,3,3,3,4,0,3,20,16.0,neutral or dissatisfied
1923,Female,Loyal Customer,33,Business travel,Business,3757,1,4,4,4,3,2,5,3,3,4,2,2,5,4,6,3.0,satisfied
1924,Male,disloyal Customer,20,Business travel,Eco Plus,3434,0,4,4,3,4,4,3,1,3,4,2,2,3,3,26,19.0,neutral or dissatisfied
1925,Male,Loyal Customer,67,Business travel,Eco,3568,4,5,2,3,1,3,3,3,4,3,4,3,2,2,0,8.0,neutral or dissatisfied
1926,Male,Loyal Customer,51,Personal Travel,Eco,1595,2,4,4,3,4,2,4,3,3,3,3,1,3,4,4,1.0,satisfied
1927,Male,Loyal Customer,41,Business travel,Business,2266,2,3,3,3,5,4,3,2,5,4,3,3,2,4,3,0.0,satisfied
1928,Male,disloyal Customer,37,Business travel,Business,4434,4,3,4,3,4,1,4,3,3,3,2,4,3,3,2,17.0,satisfied
1929,Male,Loyal Customer,59,Personal Travel,Eco,3661,4,5,4,5,4,3,4,1,3,2,3,4,2,3,5,8.0,satisfied
1930,Female,disloyal Customer,14,Business travel,Eco,3013,2,2,3,4,4,4,4,2,5,1,3,4,4,2,8,9.0,satisfied
1931,Male,Loyal Customer,79,Business travel,Eco,460,4,5,4,4,2,5,3,4,4,3,2,4,5,5,2,1.0,satisfied
1932,Male,Loyal Customer,51,Business travel,Eco,3679,5,2,2,4,2,4,1,1,3,4,4,3,4,3,22,17.0,neutral or dissatisfied
1933,Female,Loyal Customer,24,Business travel,Eco,1860,4,4,4,0,2,2,2,4,4,1,4,1,3,3,8,2.0,neutral or dissatisfied
1934,Female,Loyal Customer,48,Business travel,Business,1957,4,3,4,3,2,3,2,2,5,2,2,3,3,4,8,0.0,satisfied
1935,Male,Loyal Customer,73,Personal Travel,Eco,3385,3,3,4,4,4,4,4,3,2,4,4,4,4,0,2,0.0,neutral or dissatisfied
1936,Male,Loyal Customer,20,Business travel,Business,1998,3,2,2,3,5,5,2,5,2,3,1,3,2,2,14,2.0,satisfied
1937,Male,Loyal Customer,47,Business travel,Eco,2885,3,4,3,3,3,4,2,3,3,3,4,3,4,5,1,8.0,neutral or dissatisfied
1938,Female,Loyal Customer,53,Business travel,Business,112,3,2,3,2,4,4,2,5,3,4,4,4,3,0,19,14.0,satisfied
1939,Female,Loyal Customer,70,Personal Travel,Eco,965,2,1,3,3,3,3,4,3,4,3,2,3,2,2,8,14.0,neutral or dissatisfied
1940,Male,Loyal Customer,51,Personal Travel,Eco,2712,2,4,3,2,4,2,4,3,2,3,3,3,3,3,1,0.0,neutral or dissatisfied
1941,Male,Loyal Customer,64,Personal Travel,Eco,4790,1,5,5,4,1,2,3,4,2,2,3,3,2,2,2,5.0,neutral or dissatisfied
1942,Male,Loyal Customer,67,Business travel,Business,3815,3,2,2,5,3,3,3,4,2,3,5,3,5,2,7,0.0,neutral or dissatisfied
1943,Female,Loyal Customer,76,Personal Travel,Eco,2116,3,4,3,5,3,4,4,3,2,2,5,4,2,2,5,0.0,neutral or dissatisfied
1944,Male,Loyal Customer,35,Business travel,Business,4845,2,4,1,2,3,3,3,3,2,2,4,2,3,3,11,7.0,satisfied
1945,Male,Loyal Customer,61,Business travel,Business,1413,4,3,4,2,3,4,5,1,1,2,2,3,2,4,4,,neutral or dissatisfied
1946,Male,disloyal Customer,26,Business travel,Eco,4466,2,4,4,2,2,2,3,2,3,4,3,4,2,4,18,8.0,satisfied
1947,Male,Loyal Customer,72,Personal Travel,Eco,2046,2,3,5,2,2,2,2,5,2,3,4,3,4,2,12,23.0,neutral or dissatisfied
1948,Female,Loyal Customer,81,Business travel,Business,480,4,4,4,2,2,5,4,5,3,2,1,3,3,4,8,8.0,satisfied
1949,Male,disloyal Customer,29,Business travel,Eco Plus,62,4,2,3,2,1,4,3,3,5,4,1,3,5,3,19,19.0,neutral or dissatisfied
1950,Male,Loyal Customer,50,Business travel,Business,4903,2,2,3,4,2,3,2,1,1,3,2,4,4,4,2,0.0,neutral or dissatisfied
1951,Female,Loyal Customer,71,Business travel,Eco,3228,3,4,3,2,2,2,4,2,4,4,4,3,3,4,9,11.0,satisfied
1952,Female,disloyal Customer,9,Personal Travel,Eco,789,2,4,3,4,1,4,5,2,5,2,4,3,4,3,18,26.0,neutral or dissatisfied
1953,Male,disloyal Customer,61,Personal Travel,Eco,4960,3,3,3,5,4,4,3,3,4,5,4,2,3,3,6,0.0,satisfied
1954,Male,Loyal Customer,71,Business travel,Eco,253,3,5,1,3,2,4,2,2,4,5,4,3,2,4,3,0.0,neutral or dissatisfied
1955,Female,Loyal Customer,74,Business travel,Eco Plus,1706,4,5,3,4,1,3,5,4,5,4,3,1,2,5,4,2.0,satisfied
1956,Male,Loyal Customer,22,Business travel,Eco,3757,3,3,3,2,3,2,4,3,4,4,3,3,2,3,8,6.0,satisfied
1957,Female,disloyal Customer,66,Personal Travel,Business,313,3,1,5,2,2,3,3,5,4,4,4,4,5,3,9,2.0,satisfied
1958,Female,disloyal Customer,68,Business travel,Business,4534,2,3,3,3,5,5,3,3,3,3,5,3,3,4,4,7.0,satisfied
1959,Female,Loyal Customer,7,Business travel,Eco,3406,3,2,2,3,3,2,4,3,2,1,4,4,4,1,22,31.0,satisfied
1960,Male,Loyal Customer,62,Business travel,Business,4751,4,3,3,5,1,3,2,4,4,2,3,4,4,2,2,2.0,satisfied
1961,Female,Loyal Customer,55,Business travel,Eco,4194,4,2,3,2,4,5,2,4,5,3,4,3,3,3,1,0.0,satisfied
1962,Female,Loyal Customer,82,Business travel,Business,4133,2,2,3,2,3,3,5,2,3,2,5,2,3,2,19,11.0,satisfied
1963,Male,Loyal Customer,10,Business travel,Eco,1176,4,1,2,3,3,3,2,4,3,5,3,4,5,3,8,27.0,satisfied
1964,Female,Loyal Customer,82,Personal Travel,Eco,1064,2,3,3,2,5,2,4,3,3,4,3,4,4,3,14,11.0,neutral or dissatisfied
1965,Female,Loyal Customer,51,Business travel,Eco,1248,3,0,2,2,2,4,5,4,2,5,3,3,1,5,13,17.0,satisfied
1966,Female,Loyal Customer,28,Business travel,Eco Plus,812,3,3,3,2,4,2,3,3,2,4,4,2,1,3,0,0.0,satisfied
1967,Male,Loyal Customer,37,Business travel,Business,3338,2,4,4,3,3,1,2,5,4,1,2,3,4,1,4,0.0,neutral or dissatisfied
1968,Male,Loyal Customer,66,Business travel,Eco,341,3,2,2,5,3,2,4,2,3,4,4,3,2,3,5,13.0,satisfied
1969,Female,Loyal Customer,84,Business travel,Business,2170,3,2,3,2,2,3,5,2,3,3,2,2,3,4,11,,satisfied
1970,Male,Loyal Customer,31,Business travel,Eco,2930,1,3,4,4,2,1,4,2,3,5,3,3,1,4,17,11.0,neutral or dissatisfied
1971,Female,disloyal Customer,83,Personal Travel,Eco,2717,3,2,3,4,3,2,2,3,3,5,3,2,3,4,1,3.0,neutral or dissatisfied
1972,Female,Loyal Customer,56,Business travel,Business,2461,1,3,5,2,1,4,4,4,2,4,5,4,4,2,21,16.0,neutral or dissatisfied
1973,Female,Loyal Customer,21,Personal Travel,Business,1154,5,2,3,3,3,3,2,3,4,4,4,3,3,3,14,18.0,neutral or dissatisfied
1974,Male,Loyal Customer,53,Business travel,Business,590,3,3,2,4,3,2,2,4,4,3,3,3,2,2,2,0.0,neutral or dissatisfied
1975,Female,Loyal Customer,69,Business travel,Business,4941,3,3,2,3,1,3,3,3,2,3,3,3,3,2,10,10.0,neutral or dissatisfied
1976,Male,Loyal Customer,11,Business travel,Eco,2350,3,3,2,3,4,5,3,3,4,5,2,2,3,3,2,7.0,satisfied
1977,Female,Loyal Customer,13,Personal Travel,Business,2994,4,5,2,2,5,5,2,2,3,3,2,2,3,4,21,18.0,satisfied
1978,Male,Loyal Customer,7,Personal Travel,Eco Plus,2858,4,3,4,4,2,3,3,5,4,3,5,5,1,5,13,3.0,neutral or dissatisfied
1979,Male,Loyal Customer,51,Business travel,Eco Plus,1876,1,4,2,3,2,4,4,3,3,3,2,3,4,3,4,1.0,neutral or dissatisfied
1980,Female,Loyal Customer,11,Business travel,Eco,3628,4,2,3,3,4,3,3,5,4,4,5,1,3,4,0,0.0,neutral or dissatisfied
1981,Female,Loyal Customer,79,Business travel,Eco,1912,4,3,4,3,3,1,1,3,3,4,3,4,3,1,55,52.0,satisfied
1982,Female,Loyal Customer,16,Business travel,Business,2100,3,3,2,4,3,1,3,4,3,2,3,2,2,3,3,3.0,satisfied
1983,Male,Loyal Customer,12,Personal Travel,Eco,4027,3,3,4,5,4,2,5,3,4,4,3,4,5,5,17,17.0,neutral or dissatisfied
1984,Female,Loyal Customer,27,Business travel,Eco,1625,0,4,1,2,3,1,4,5,4,4,5,5,4,3,0,7.0,neutral or dissatisfied
1985,Female,Loyal Customer,66,Business travel,Eco Plus,3512,2,2,3,3,5,3,3,4,3,3,2,3,3,3,10,4.0,satisfied
1986,Female,Loyal Customer,77,Personal Travel,Business,3345,4,3,2,1,3,3,3,4,3,2,4,4,4,5,11,11.0,satisfied
1987,Female,Loyal Customer,26,Personal Travel,Business,201,4,2,3,5,3,4,4,2,3,5,3,4,5,5,9,19.0,satisfied
1988,Male,Loyal Customer,47,Personal Travel,Eco Plus,3436,4,2,2,3,4,4,3,5,1,5,4,5,4,4,0,2.0,neutral or dissatisfied
1989,Male,disloyal Customer,67,Business travel,Eco,4016,3,3,5,3,0,4,4,5,3,5,3,4,5,3,29,36.0,satisfied
1990,Female,disloyal Customer,69,Business travel,Business,1388,5,3,1,3,4,2,2,3,2,2,3,2,4,3,0,0.0,satisfied
1991,Female,disloyal Customer,18,Business travel,Eco,4576,4,5,4,3,2,4,3,3,3,3,4,1,3,5,6,12.0,satisfied
1992,Male,Loyal Customer,72,Business travel,Business,148,3,5,4,2,4,2,3,4,2,3,2,2,4,5,4,,satisfied
1993,Male,Loyal Customer,74,Business travel,Eco,939,5,2,3,4,5,4,4,1,2,5,5,2,5,3,13,2.0,neutral or dissatisfied
1994,Female,Loyal Customer,64,Business travel,Business,4731,2,3,3,4,3,5,1,4,2,4,3,4,4,1,0,5.0,neutral or dissatisfied
1995,Female,Loyal Customer,48,Business travel,Business,4284,1,4,5,4,2,4,3,4,4,3,3,4,2,3,9,11.0,neutral or dissatisfied
1996,Male,Loyal Customer,37,Business travel,Business,3788,3,3,5,2,3,3,4,3,4,3,4,2,3,4,5,5.0,satisfied
1997,Female,Loyal Customer,76,Business travel,Business,3039,2,2,3,2,1,4,4,1,3,4,2,4,4,5,30,23.0,satisfied
1998,Female,Loyal Customer,74,Business travel,Business,1045,3,5,3,3,5,2,3,4,5,4,3,2,3,3,2,14.0,neutral or dissatisfied
1999,Male,Loyal Customer,47,Business travel,Business,2471,4,4,2,4,3,1,1,2,5,5,3,2,4,3,24,30.0,satisfied
2000,Male,Loyal Customer,64,Business travel,Business,2850,3,3,2,4,5,4,4,1,4,5,5,1,3,4,10,5.0,neutral or dissatisfied
2001,Female,Loyal Customer,38,Personal Travel,Eco,493,3,5,4,2,3,5,5,4,4,4,4,3,3,2,7,18.0,neutral or dissatisfied
2002,Male,Loyal Customer,64,Personal Travel,Eco,2994,3,4,3,4,3,2,2,5,4,2,2,2,4,3,4,14.0,neutral or dissatisfied
2003,Male,disloyal Customer,13,Business travel,Eco,491,0,3,1,2,4,3,3,3,4,2,4,4,4,3,1,0.0,neutral or dissatisfied
2004,Male,Loyal Customer,77,Business travel,Business,673,1,2,4,2,2,4,4,5,1,2,4,2,3,3,19,13.0,satisfied
2005,Female,Loyal Customer,47,Business travel,Business,891,3,2,3,3,3,3,4,4,0,3,1,4,1,5,11,14.0,satisfied
2006,Male,Loyal Customer,53,Business travel,Eco,998,2,4,2,2,4,3,4,2,1,2,2,2,0,4,13,12.0,neutral or dissatisfied
2007,Male,Loyal Customer,21,Business travel,Eco,456,3,4,2,2,3,4,4,3,3,4,5,4,3,3,4,25.0,neutral or dissatisfied
2008,Male,Loyal Customer,48,Personal Travel,Eco Plus,4785,5,3,3,5,2,3,2,4,5,4,3,3,3,3,2,0.0,neutral or dissatisfied
2009,Female,Loyal Customer,7,Business travel,Eco Plus,4022,3,5,5,5,4,3,3,3,3,3,3,3,3,5,6,18.0,neutral or dissatisfied
2010,Female,Loyal Customer,76,Business travel,Eco,2564,2,3,3,5,5,2,4,4,3,4,3,3,3,2,3,0.0,satisfied
2011,Male,Loyal Customer,65,Personal Travel,Eco,1874,2,4,4,3,5,3,3,3,4,2,2,3,5,1,13,12.0,neutral or dissatisfied
2012,Male,Loyal Customer,42,Business travel,Business,997,5,3,2,4,2,3,4,4,4,1,1,4,3,2,33,27.0,neutral or dissatisfied
2013,Male,disloyal Customer,72,Business travel,Eco,4747,5,5,3,3,2,3,3,4,2,2,2,5,4,4,10,10.0,satisfied
2014,Female,Loyal Customer,70,Business travel,Eco Plus,3997,4,4,4,3,2,3,3,3,4,4,2,2,5,4,16,10.0,neutral or dissatisfied
2015,Female,Loyal Customer,16,Personal Travel,Eco,3772,1,3,2,4,4,3,3,4,4,5,3,3,2,3,0,0.0,satisfied
2016,Male,Loyal Customer,11,Business travel,Business,2379,3,3,3,4,2,2,2,1,5,5,2,2,5,3,88,78.0,neutral or dissatisfied
2017,Male,Loyal Customer,26,Business travel,Business,185,3,3,4,4,2,3,2,2,3,3,2,1,4,2,12,0.0,neutral or dissatisfied
2018,Female,Loyal Customer,7,Personal Travel,Business,3210,3,2,3,2,2,3,3,3,5,4,3,1,3,1,7,6.0,satisfied
2019,Female,Loyal Customer,51,Business travel,Business,2463,2,1,3,3,2,2,3,4,3,2,4,2,0,5,8,18.0,satisfied
2020,Male,Loyal Customer,48,Personal Travel,Eco,1522,3,3,3,2,4,1,4,2,5,5,2,3,5,3,31,32.0,neutral or dissatisfied
2021,Male,Loyal Customer,48,Business travel,Eco,1609,2,2,2,3,4,4,3,3,3,4,3,5,5,3,0,0.0,satisfied
2022,Female,Loyal Customer,12,Business travel,Business,336,2,2,2,5,2,4,5,4,4,4,5,4,2,4,1,21.0,satisfied
2023,Female,Loyal Customer,78,Business travel,Eco,4364,5,3,3,2,3,2,5,3,4,1,2,2,5,5,26,8.0,neutral or dissatisfied
2024,Female,disloyal Customer,83,Personal Travel,Business,866,4,3,4,5,0,4,3,3,5,4,5,4,1,3,13,15.0,neutral or dissatisfied
2025,Male,Loyal Customer,53,Business travel,Eco,4074,3,3,4,4,2,2,3,3,5,5,4,2,4,2,10,3.0,neutral or dissatisfied
2026,Male,disloyal Customer,7,Business travel,Business,4866,3,5,3,2,4,3,5,3,2,3,3,3,3,3,3,3.0,satisfied
2027,Female,Loyal Customer,37,Personal Travel,Eco,277,3,4,3,3,2,3,2,4,3,3,3,3,2,3,1,0.0,neutral or dissatisfied
2028,Female,Loyal Customer,63,Business travel,Eco,3136,5,5,3,2,2,3,2,2,5,3,5,5,3,3,6,1.0,neutral or dissatisfied
2029,Female,Loyal Customer,65,Personal Travel,Eco,380,4,3,3,2,5,4,5,1,3,2,2,3,3,2,2,4.0,neutral or dissatisfied
2030,Male,disloyal Customer,25,Business travel,Eco,4163,4,4,3,3,2,3,4,4,4,3,3,1,2,4,20,19.0,neutral or dissatisfied
2031,Female,Loyal Customer,71,Business travel,Business,2560,3,3,4,3,5,3,4,5,2,2,5,4,4,5,1,0.0,satisfied
2032,Male,Loyal Customer,82,Personal Travel,Eco,156,3,2,5,2,5,4,4,2,3,4,3,4,2,5,25,15.0,satisfied
2033,Male,Loyal Customer,46,Personal Travel,Business,3873,5,5,2,3,3,3,3,5,2,4,3,4,3,2,11,17.0,satisfied
2034,Female,Loyal Customer,36,Business travel,Business,3839,4,2,4,2,4,3,2,4,4,3,2,2,5,5,26,25.0,neutral or dissatisfied
2035,Female,Loyal Customer,48,Personal Travel,Eco,4628,2,1,4,2,1,3,3,2,4,3,1,3,2,2,6,0.0,neutral or dissatisfied
2036,Female,Loyal Customer,9,Personal Travel,Eco,2450,3,2,3,2,1,4,5,2,5,3,4,3,1,3,11,0.0,satisfied
2037,Female,Loyal Customer,47,Personal Travel,Eco,4668,4,1,2,5,2,4,5,2,2,3,3,5,3,4,21,23.0,satisfied
2038,Male,disloyal Customer,9,Business travel,Business,3343,1,2,3,3,4,2,4,3,4,4,4,4,3,4,27,25.0,satisfied
2039,Female,Loyal Customer,9,Business travel,Eco,2653,2,2,5,4,3,2,4,3,3,4,3,5,3,5,25,26.0,satisfied
2040,Male,disloyal Customer,50,Business travel,Business,1823,3,3,3,3,3,4,5,4,1,4,3,2,4,2,3,23.0,satisfied
2041,Male,Loyal Customer,46,Business travel,Eco,1500,1,1,2,4,2,3,1,4,4,4,2,3,4,3,60,66.0,satisfied
2042,Female,Loyal Customer,83,Business travel,Eco,3123,1,4,3,4,3,1,3,2,5,4,4,2,3,3,3,3.0,neutral or dissatisfied
2043,Female,Loyal Customer,46,Business travel,Eco,3710,3,1,2,3,2,2,2,2,5,3,2,4,4,4,0,0.0,neutral or dissatisfied
2044,Female,disloyal Customer,83,Business travel,Eco,226,4,3,3,5,2,3,5,4,3,3,4,4,4,3,4,16.0,neutral or dissatisfied
2045,Male,Loyal Customer,69,Business travel,Eco,2088,4,3,4,3,2,3,3,3,4,4,3,3,4,3,10,10.0,neutral or dissatisfied
2046,Female,Loyal Customer,33,Business travel,Business,275,5,4,2,4,3,4,4,3,4,3,2,3,3,3,18,37.0,satisfied
2047,Male,Loyal Customer,79,Business travel,Eco Plus,2013,3,3,0,4,2,2,3,4,2,4,3,3,4,4,24,18.0,satisfied
2048,Female,Loyal Customer,44,Business travel,Eco Plus,4004,3,4,3,2,3,4,4,4,2,2,3,1,3,2,19,9.0,satisfied
2049,Female,Loyal Customer,53,Personal Travel,Business,3469,2,3,2,3,1,4,3,2,3,1,3,3,3,2,23,34.0,neutral or dissatisfied
2050,Female,Loyal Customer,14,Personal Travel,Business,666,3,2,2,1,4,2,3,1,3,3,5,3,4,3,1,2.0,neutral or dissatisfied
2051,Male,disloyal Customer,23,Business travel,Business,3598,4,3,2,3,3,3,4,3,3,2,3,3,4,2,16,25.0,neutral or dissatisfied
2052,Male,Loyal Customer,47,Business travel,Eco,119,4,4,3,3,3,4,4,2,3,5,3,2,4,3,2,0.0,neutral or dissatisfied
2053,Male,Loyal Customer,28,Personal Travel,Eco Plus,111,3,4,3,3,3,3,3,3,3,2,3,2,4,4,2,0.0,satisfied
2054,Female,Loyal Customer,53,Business travel,Eco,4566,4,3,4,3,4,4,4,3,2,4,3,1,1,2,6,0.0,neutral or dissatisfied
2055,Female,disloyal Customer,13,Personal Travel,Business,211,4,3,4,4,1,3,4,2,5,2,3,3,4,3,7,0.0,neutral or dissatisfied
2056,Male,disloyal Customer,26,Business travel,Business,1364,3,3,3,2,3,4,3,5,1,3,2,1,2,5,0,0.0,neutral or dissatisfied
2057,Female,Loyal Customer,58,Business travel,Eco,703,5,3,2,5,2,3,5,3,3,2,4,4,4,1,23,9.0,neutral or dissatisfied
2058,Female,disloyal Customer,54,Business travel,Business,2932,2,5,3,4,3,5,4,3,3,2,5,3,2,2,9,9.0,neutral or dissatisfied
2059,Male,Loyal Customer,83,Personal Travel,Business,2635,3,3,3,2,3,2,3,3,3,3,3,4,5,4,0,0.0,neutral or dissatisfied
